time_s,position_error_m,momentum_error
4.1131951299770295e-08,1.7372378246727764e-07,6.404638640589283e-08
8.226390259954074e-08,6.900585208697987e-07,2.6403721726537224e-07
1.2339585389930983e-07,3.3895744530720165e-07,8.497179662340241e-08
1.6452780519906705e-07,8.406051791592792e-07,2.3417598272930337e-08
2.0565975649882426e-07,1.047458177479683e-06,2.5679580947145615e-08
2.467917077985815e-07,8.312571532964122e-07,4.357867348097847e-07
2.879236590983387e-07,1.334079068164007e-06,5.802907911987455e-07
3.290556103980959e-07,1.663675767807047e-06,4.040863794955686e-08
3.7018756169785314e-07,1.3125479576410783e-06,1.1255132011012017e-07
4.1131951299761035e-07,2.2679299674585158e-06,1.9459560806956254e-07
4.5245146429736756e-07,1.7455071006194644e-06,8.54867247781235e-07
4.935834155971248e-07,1.8519134425742708e-06,2.635006869660487e-07
5.34715366896882e-07,2.5279340390323748e-06,9.4514647035411e-08
5.758473181966392e-07,1.982687483271808e-06,1.5358094324585924e-07
6.169792694963964e-07,2.74147347613212e-06,1.1509488784824205e-06
6.581112207961536e-07,2.868455676553424e-06,1.2438932844869009e-06
6.992431720959108e-07,2.18394081360104e-06,1.4260871892896778e-07
7.40375123395668e-07,2.9603186548699934e-06,5.594329282148894e-08
7.815070746954253e-07,2.762905202030155e-06,3.0977964096929747e-07
8.226390259951825e-07,2.7783386318676737e-06,1.3293410532764765e-06
8.637709772949397e-07,3.5434131864424663e-06,3.929269119846262e-07
9.049029285946969e-07,3.4739586190472187e-06,2.91839485024538e-08
9.460348798944541e-07,3.428415566013633e-06,1.1828538939158522e-07
9.871668311942114e-07,3.902542195214951e-06,1.774325667534806e-06
1.0282987824939686e-06,4.412600689326198e-06,1.9293249252792363e-06
1.0694307337937259e-06,4.181360380645973e-06,1.6962143122678885e-07
1.110562685093483e-06,4.621899217454861e-06,3.853456336350294e-08
1.1516946363932403e-06,4.9722690573317e-06,5.123278400224518e-07
1.1928265876929975e-06,4.597434508568785e-06,2.234339631765585e-06
1.2339585389927547e-06,5.526452236885843e-06,6.21249116871835e-07
1.275090490292512e-06,5.557586836028729e-06,1.1199009085709515e-07
1.3162224415922691e-06,5.530094905799669e-06,1.689496594358458e-07
1.3573543928920263e-06,6.022396837696825e-06,2.725793410037579e-06
1.3984863441917836e-06,5.8545431472378015e-06,2.7346153412972833e-06
1.4396182954915408e-06,6.451475536043826e-06,1.4738303667302982e-07
1.480750246791298e-06,6.339069195196081e-06,8.590914962269394e-08
1.5218821980910552e-06,6.271208099717059e-06,6.161163807544478e-07
