time_s,energy_MeV
4.1131951299770295e-08,72.92543055561957
8.226390259954074e-08,73.27309842485954
1.2339585389930983e-07,74.21244982664825
1.6452780519906705e-07,74.54864893343371
2.0565975649882426e-07,75.02864655339
2.467917077985815e-07,75.98648683788797
2.879236590983387e-07,76.32191605159771
3.290556103980959e-07,77.29284054534399
3.7018756169785314e-07,77.78693496073646
4.1131951299761035e-07,78.12167630358884
4.5245146429736756e-07,79.1102116632881
4.935834155971248e-07,79.61535834728349
5.34715366896882e-07,80.45005114763043
5.758473181966392e-07,80.95687843504349
6.169792694963964e-07,81.47133582677556
6.581112207961536e-07,82.31312802812559
6.992431720959108e-07,82.83134904482849
7.40375123395668e-07,83.35325624815907
7.815070746954253e-07,84.20238700013562
8.226390259951825e-07,84.73045206165185
8.637709772949397e-07,85.78719171410138
9.049029285946969e-07,86.11452330241302
9.460348798944541e-07,86.65027402505284
9.871668311942114e-07,87.72407613931335
1.0282987824939686e-06,88.04623574005856
1.0694307337937259e-06,89.13127154258352
1.110562685093483e-06,89.68112125857037
1.1516946363932403e-06,89.99655278591744
1.1928265876929975e-06,91.09742757842419
1.2339585389927547e-06,91.40965159235056
1.275090490292512e-06,92.52295947332705
1.3162224415922691e-06,93.08632491472223
1.3573543928920263e-06,93.39810038667554
1.3984863441917836e-06,94.52628884574767
1.4396182954915408e-06,95.09999252034342
1.480750246791298e-06,95.41033863528348
1.5218821980910552e-06,96.55579036739182
1.5630141493908124e-06,97.13785645854676
1.6041461006905696e-06,98.02436120945204
1.6452780519903268e-06,98.60954191581723
1.686410003290084e-06,99.19781356532637
1.7275419545898413e-06,100.0904150919947
1.7686739058895985e-06,100.68395068840712
1.8098058571893557e-06,101.87211457428596
1.850937808489113e-06,102.17555857216317
1.8920697597888701e-06,102.77515472153708
1.9332017110887605e-06,103.9790521466855
1.9743336623887295e-06,104.27708859735222
2.0154656136886985e-06,105.4891748331596
2.0565975649886674e-06,106.10303271657558
2.0977295162886364e-06,106.39595042081736
2.1388614675886054e-06,107.62320376841718
2.1799934188885743e-06,107.91757507104656
2.2211253701885433e-06,108.53522723912307
2.2622573214885123e-06,109.7795024955594
2.3033892727884813e-06,110.07302189313874
2.3445212240884502e-06,111.32369656317643
2.385653175388419e-06,111.95743225763523
2.426785126688388e-06,112.24791890170239
2.467917077988357e-06,113.51530329383498
2.509049029288326e-06,114.15418453223386
2.550180980588295e-06,115.08067314701596
2.591312931888264e-06,115.72403615751205
2.632444883188233e-06,116.36727117272396
2.673576834488202e-06,117.29854056654995
2.714708785788171e-06,117.94657135014337
2.75584073708814e-06,119.2489453363708
2.796972688388109e-06,119.53125684936259
2.838104639688078e-06,120.18356618963143
2.879236590988047e-06,121.50138778823265
2.920368542288016e-06,121.78141968107204
2.9615004935879848e-06,122.43952712481996
3.0026324448879538e-06,123.77129099972177
3.0437643961879227e-06,124.05127962491483
3.0848963474878917e-06,125.38939893434967
3.1260282987878607e-06,125.67053784659905
3.1671602500878296e-06,126.3399030507786
3.2082922013877986e-06,127.69101124046075
3.2494241526877676e-06,127.96801098073193
3.2905561039877366e-06,129.32587031390824
3.3316880552877055e-06,130.0063305496439
3.3728200065876745e-06,130.2802935709513
